Phase,tau,R,V,H,L
0.7435609991029477,4.0855860956645484,1.0586420613025151,-0.26091298938212193,0.9175614321316924,0.779416818516192
0.7636693856589681,4.146823427061047,1.042294718853616,-0.2726624944544772,0.9286567769987293,0.7750980691588818
0.7832670238333668,4.206505344361121,1.0257361925545543,-0.28174941792802105,0.9405931701075324,0.7695229166684114
0.7981825713071219,4.251928597045563,1.0128253664446158,-0.28630000688641244,0.9504897049961332,0.763902015796192
0.8105343204771084,4.28954415387513,1.0020200045301884,-0.28781027255065644,0.9592614649851701,0.7579790824099363
0.8209671447429978,4.321315888280167,0.992884367307995,-0.28687565617803745,0.9671058454903013,0.7518196138682026
0.8299300290553541,4.348611122304794,0.9850893320277118,-0.2839052097788838,0.9741818472846521,0.7455046537123542
0.8377323123532375,4.3723719052313985,0.978395062689693,-0.27919259226855503,0.9806065199022161,0.7391332519639902
0.8446021377352356,4.393293015554272,0.972615449498925,-0.2729572242583176,0.9864739993151591,0.7328092401472821
0.8507118510070072,4.411899308770226,0.9676040188695519,-0.26536818284304703,0.9918607941861233,0.7266375952141774
0.8561948404439048,4.428597000564413,0.9632436375679307,-0.25655920276310373,0.9968301902499749,0.7207213512439752
0.8616778298808024,4.4452946923586,0.9590487762893484,-0.24547515428270006,1.0019250469180057,0.7145694081939561
0.8666393111615708,4.46040420263987,0.9554300864372565,-0.23312016149098705,1.0066387392219842,0.7089748097485039
0.8711174123899473,4.474041645315103,0.9523394828432998,-0.21975735457856585,1.0109711798665628,0.704115125766554
0.8751969715802194,4.486465382912863,0.9496956368217458,-0.20550460319284727,1.0149750468404743,0.7000768024875269
0.878947411220335,4.497886832092015,0.9474325451235837,-0.19045878502278693,1.0186958102149892,0.6969326297113285
0.8824239191267271,4.508474059773022,0.9454979016685102,-0.1747100803620122,1.0221705241360841,0.6947470911839821
0.8856706317516376,4.518361477463493,0.9438500180976462,-0.15834765555272667,1.0254292499548088,0.6935771731713573
0.8887229215974856,4.5276568072647,0.942455458792327,-0.14146441669001475,1.0284961350086461,0.6934722115912154
0.8916089342470962,4.536445762686177,0.9412872262189029,-0.12416162384231388,1.0313901228075595,0.6944726199389702
0.8943505629201004,4.544795016523484,0.9403233028205737,-0.10655356031857971,1.0341253820157956,0.696607108992875
0.8969639843364939,4.5527538327571255,0.9395454049823292,-0.08877224922976902,1.0367115266126632,0.6998879828233323
