Phase,tau,R,V,H,L
0.5517291982650834,7.851570939762799,1.392487660381029,-0.350093298573739,0.7283440797183481,0.8884632689473713
0.5631176007490997,7.896717771507966,1.3761915806313105,-0.371879596796167,0.7356402686542275,0.8779167454230018
0.5744444628980055,7.941620640049455,1.3590000421439778,-0.39390123690837253,0.7434797393830805,0.8666122553532868
0.5857616770969682,7.986485261402773,1.3408274912335405,-0.4162655436607249,0.7519223781951485,0.8544164407680597
0.5971219506757559,8.031520582253123,1.321568451977169,-0.43908143980523,0.7610415868543122,0.8411735997551895
0.6085826968178611,8.076954204613932,1.3010895660813413,-0.4624643779257107,0.7709291722946958,0.8266975938833084
0.6202109989872684,8.123052066211377,1.279217287889774,-0.4865416224991401,0.7817028983976072,0.8107606155297342
0.6320911372701734,8.17014827702061,1.255717394004457,-0.5114589277679193,0.7935189565884391,0.79307634486797
0.644337719151595,8.218697173358787,1.2302579059613867,-0.537390451506987,0.8065942954910367,0.773272389041703
0.6571218061570425,8.269376891243764,1.2023346557430907,-0.5645560724666646,0.8212510081489011,0.7508398413364397
0.6707307600561687,8.323326613584005,1.1711008000538714,-0.5932561408688027,0.8380172783247007,0.7250270085300398
0.6857209497099117,8.382751943087024,1.1349278058360879,-0.6239235779436721,0.8578873347206161,0.694596880978022
0.7028767330000781,8.450762295087205,1.0913742197794685,-0.6561507181599735,0.8823720583205004,0.6583450864533188
0.7177072856640536,8.509554778646516,1.0520936585495269,-0.6790467246953367,0.9048678458178385,0.6278959283760033
0.7291447064519389,8.554895932740257,1.0210070505451163,-0.6911552028382306,0.9228550523382336,0.6072162175297141
0.7385803956141744,8.592301659452588,0.9950534389276292,-0.6955010979753147,0.9379291646124538,0.5939111315777937
0.7467003144852966,8.62449130251916,0.9726813048823187,-0.6934884161628608,0.9509156370695594,0.5867467649235654
0.7538741972718718,8.652930592365092,0.953052814934756,-0.6858515234533716,0.9622667734140752,0.5849953294303757
0.760323834530931,8.678498769162564,0.9356671409447203,-0.6730545876369406,0.9722594280321233,0.5881093424319555
0.7667734717899901,8.704066945960037,0.9186938695870244,-0.653375968939975,0.9819346927667872,0.5965840991767817
0.7726493620109677,8.727360628066185,0.9037519302229241,-0.628313303604036,0.9903682356706464,0.6096528131277833
0.7780151060425288,8.748631947140174,0.8906910771177909,-0.5985441765595013,0.9976654436755992,0.6264292900091182
0.7829691993771601,8.768271367027412,0.879259389106828,-0.564513861336751,1.0039928443860475,0.6461288892533225
0.7875860526188749,8.78657387229875,0.8692645926148094,-0.5266391968317694,1.0094845587883081,0.6679947515538713
0.7919212703980795,8.803759895354318,0.8605604836489947,-0.48534624335233906,1.014249523714496,0.6912839978011431
0.7960170049830909,8.819996539645903,0.853032470312096,-0.4410857034110749,1.0183792361943937,0.7152715002151906
0.7999052900407001,8.835410795641817,0.8465878579532858,-0.39434263296885536,1.0219527169040006,0.7392612340875935
0.8036100966987102,8.850097691637309,0.8411489620068869,-0.3456427505272075,1.0250397012654007,0.7626025100636526
0.8071485866960494,8.864125261594205,0.8366478178005273,-0.2955559271207285,1.0277026879745608,0.7847093451406637
0.8105318098666388,8.877537310163206,0.8330218161137669,-0.24469728159129414,1.0299981697694454,0.8050810873421478
0.8137649423962271,8.890354357201016,0.8302098966297902,-0.1937269353878291,1.031977208158906,0.8233219514074905
0.8168470126733903,8.902572550966573,0.8281490766311861,-0.14335124160448268,1.0336854163446685,0.8391566581668424
0.8197698185525649,8.914159375847067,0.8267710873104679,-0.09433226836985478,1.0351623214697554,0.852439148869472
0.8225151665313839,8.925042707680099,0.8259986413554469,-0.04752210046863972,1.0364398805231343,0.8631513627530858
0.8247593007810996,8.933939087266936,0.8257473572202866,-0.008938876124807205,1.0374174197676718,0.8705323562196361
